"Var","Imp"
"PctCrop2019CatRp100",0.00949835879866296
"PctCrop2019WsRp100",0.00943722962511147
"KffactCat",0.0090592427757212
"PermCat",0.00571599886117102
"AgKffactWs",0.00529209954539276
"PctMxFst2019WsRp100",0.00509842479728607
"PctUrbOp2019CatRp100",0.00454331872382167
"Precip_Minus_EVTWs",0.00436422810241229
"ClayWs",0.00422349932192775
"PctWdWet2019WsRp100",0.00404122092641008
"PctGrs2019Ws",0.00397876203928598
"Pestic97Cat",0.00388025759688116
"MAST_2013",0.00380454733668488
"Phos_Crop_UptakeWs",0.00371470741487919
"FertWs",0.00353631311218613
"WWTPAllDensWs",0.00332769525321137
"SiO2Cat",0.00315096805259195
"PctHay2019Cat",0.00315084393819078
"RdCrsSlpWtdCat",0.00311529761753443
"PctImp2013CatRp100",0.00309552334053347
"Al2O3Cat",0.00300715933471481
"PctGlacLakeFineWs",0.00298811557575635
"PctCrop2019Ws",0.00293029430306918
"CompStrgthCat",0.00286024232585493
"NsurpCat",0.0028533611695262
"K2OCat",0.00266810444822131
"AgKffactCat",0.00265704061465375
"NABD_NIDStorWs",0.00256754532655463
"PctMxFst2019Ws",0.00246391582266872
"ElevWs",0.00244897630152433
"PctOw2019Cat",0.00240281872394747
"PctDecid2019CatRp100",0.00202790057235466
"OmCat",0.00202711038969867
"PctCrop2019Cat",0.00186436976925993
"WaterInputCat",0.00186269649434534
"FertCat",0.00178369891391755
"PctDecid2019Cat",0.00170948284543164
"NO3_2008Ws",0.0016890408831984
"Phos_FertCat",0.00165860654825652
"MAST_2014",0.00158936954285634
"Na2OCat",0.00158643042413569
"WaterInputWs",0.00150687548388653
"RockNWs",0.00148086778744678
"Pestic97Ws",0.00145899462986585
"PctUrbMd2019CatRp100",0.00140168600647735
"MSST_2014",0.00138690258520065
"MgOCat",0.00134311918915425
"MWST_2013",0.00131505334681484
"PctHbWet2019Cat",0.00129817504440606
"Fe2O3Cat",0.00126963496904995
"PctShrb2019Ws",0.00126473706676711
"HydrlCondCat",0.00122005539168842
"RdDensWs",0.00121147955699166
"Phos_ManureCat",0.00120994290065429
"PctWdWet2019Ws",0.00119132761374461
"RdCrsWs",0.0011754658050778
"NPDESDensWs",0.00115629632485736
"PctImp2008Ws",0.00115222122467358
"PctHbWet2019CatRp100",0.00114887202765503
"MSST_2013",0.0011151179756048
"NANIWs",0.00110795894195274
"Precip8110Ws",0.00110675716012953
"MAST_2009",0.0011035739536875
"SepticWs",0.00099082105157024
"Tmean8110Cat",0.000952324676097514
"RunoffCat",0.000931605291790071
"PctHbWet2019Ws",0.000892758494202402
"SandCat",0.000877606853942068
"SuperfundDensWs",0.000855215788091982
"PctGlacTilLoamCat",0.000825322784829944
"PctImp2013Cat",0.000805029748075353
"NCat",0.000726149102601376
"BFIWs",0.000720698784165474
"PctImp2006WsRp100",0.000699002659481577
"ManureWs",0.000694677878756577
"TRIDensWs",0.000672649663322631
"PctAlluvCoastWs",0.000662155198036765
"CaOCat",0.00065095223696345
"SandWs",0.000649795283690494
"PctImp2019Cat",0.000636063095036456
"PctHbWet2019WsRp100",0.000595482548588914
"PctColluvSedWs",0.000576444036798177
"PctBl2019Cat",0.000569167437587961
"NH4_2008Ws",0.00054681652471097
"PctGrs2019Cat",0.000542967196058662
"PctImp2016Ws",0.000522371733936092
"PctUrbHi2019WsRp100",0.000522095072296543
"PctImp2004CatRp100",0.000520988754529384
"Tmax8110Ws",0.000519987476224928
"PctOw2019Ws",0.000494547618767029
"KffactWs",0.000492262291749714
"RdDensCat",0.000450317078713166
"PctImp2016WsRp100",0.000447081791770883
"MSST_2009",0.000421689969840425
"CBNFCat",0.000417370928626653
"WtDepWs",0.000407553197914071
"PctImp2008Cat",0.000407193223997981
"Phos_Crop_UptakeCat",0.000385396610656552
"WWTPMinorDensWs",0.000352844836145242
"RockNCat",0.000349680647314006
"PctImp2013Ws",0.000326896374361483
"Tmean8110Ws",0.000291891995756024
"NO3_2008Cat",0.000289965875475714
"PctUrbOp2019WsRp100",0.000270808322782421
"PctImp2008WsRp100",0.000254564556724966
"SWs",0.000224209396350885
"PctShrb2019CatRp100",0.000214606565146143
"Tmax8110Cat",0.000193185837520886
"Phos_ManureWs",0.000192992432516317
"PctAg2006Slp10Cat",0.000163432781213027
"Fe2O3Ws",0.000161847747068317
"WsAreaSqKm",0.00015512520965245
"PctUrbHi2019CatRp100",0.000138176075537667
"PctUrbOp2019Cat",0.000137915845019425
"NPDESDensWsRp100",0.000119215704730598
"DamNrmStorWs",0.000117833927518808
"SiO2Ws",0.000106523788997995
"SuperfundDensWsRp100",9.65833130038409e-05
"SCat",9.61705504221921e-05
"CBNFWs",9.17551059902858e-05
"PctAlluvCoastCat",9.10896565370547e-05
"PctImp2001WsRp100",7.4068350260503e-05
"PctGlacLakeCrsCat",6.85787353943098e-05
"PctImp2001Ws",5.8050957675026e-05
"PctWdWet2019CatRp100",4.86747225085061e-05
"PctColluvSedCat",4.60957024759279e-05
"PctHydricWs",4.166387076152e-05
"PctConif2019CatRp100",3.80269900161946e-05
"PctGlacLakeCrsWs",1.3736491601352e-05
"PctGlacTilClayCat",2.24589569839395e-07
"DamNIDStorCat",0
"SuperfundDensCat",0
"TRIDensCat",0
"MineDensCat",0
"PctGlacTilCrsCat",0
"PctHydricCat",0
"PctGlacTilCrsWs",0
"NABD_NrmStorCat",0
"WWTPMajorDensCat",0
"DamDensCat",-9.36295706695178e-07
"ElevCat",-2.84897264886591e-06
"RckDepCat",-9.76318006428684e-06
"NABD_DensCat",-1.12719414328613e-05
"DamNrmStorCat",-4.33857477357992e-05
"PctWaterWs",-5.10816499401376e-05
"NPDESDensCat",-6.42872468694335e-05
"PctImp2011WsRp100",-7.85996235594488e-05
"PctUrbLo2019Ws",-8.75260540402676e-05
"ClayCat",-8.98418456547876e-05
"PctHay2019WsRp100",-9.77780974793344e-05
"CatAreaSqKm",-0.000112880478097908
"NABD_NIDStorCat",-0.00011313439751435
"PctUrbLo2019CatRp100",-0.000115491225622494
"PctAg2006Slp20Ws",-0.00011975882031258
"WWTPMajorDensWs",-0.00013017612930178
"P2O5Cat",-0.000133703674381517
"PctShrb2019WsRp100",-0.000135708803991057
"PctOw2019WsRp100",-0.000157583976470906
"RdCrsSlpWtdWs",-0.00016365930980693
"SepticCat",-0.000164466719427149
"PctBl2019CatRp100",-0.000188903651253193
"PctHay2019CatRp100",-0.000194595594006863
"PctImp2006CatRp100",-0.000210118289284288
"CompStrgthWs",-0.000219314896633742
"PctUrbMd2019Ws",-0.000224192177817195
"MgOWs",-0.000234707105708312
"PctConif2019Ws",-0.000235777856715816
"SN_2008Cat",-0.000237199842542259
"PctAg2006Slp20Cat",-0.000257007991764452
"PctUrbLo2019WsRp100",-0.00028110176522831
"PctGlacLakeFineCat",-0.000283829837197626
"RdDensCatRp100",-0.000292723032805988
"PctImp2013WsRp100",-0.000296614541133066
"TRIDensWsRp100",-0.000310838695600388
"MineDensWs",-0.000322694799225503
"PctImp2019CatRp100",-0.000368970857917104
"CaOWs",-0.000369888243923906
"WWTPMinorDensCat",-0.000370765316777365
"Al2O3Ws",-0.000384226176951084
"NANICat",-0.000387118120059313
"PctImp2011Cat",-0.000388141762898709
"PctUrbHi2019Ws",-0.000391489949938644
"PctGrs2019WsRp100",-0.000394819835963627
"PctShrb2019Cat",-0.000403424096753171
"NH4_2008Cat",-0.000420126642648583
"PctGlacTilClayWs",-0.000428739686374082
"PctImp2001Cat",-0.00044834456517449
"RckDepWs",-0.000460658462264453
"HydrlCondWs",-0.000479291886636618
"Na2OWs",-0.000487034062385662
"NABD_NrmStorWs",-0.00048817077899182
"PctImp2004Ws",-0.000492099617747396
"WWTPAllDensCat",-0.000541700261340802
"PermWs",-0.000550181672310085
"PctMxFst2019CatRp100",-0.000556438368468184
"BFICat",-0.000560395670410914
"PctImp2019WsRp100",-0.00057581508652226
"NsurpWs",-0.000592472040060552
"MineDensWsRp100",-0.000632036686276091
"P2O5Ws",-0.0006467289329552
"PctDecid2019WsRp100",-0.000674521131788171
"PctImp2004Cat",-0.000691180547043971
"PctImp2011Ws",-0.000768318126225922
"PctConif2019Cat",-0.000773616652799777
"PctImp2011CatRp100",-0.000784150611790556
"NWs",-0.000811781869940112
"PctGlacTilLoamWs",-0.000859203112871651
"PctImp2008CatRp100",-0.000862658696553109
"PctBl2019Ws",-0.000940004813557865
"InorgNWetDep_2008Ws",-0.000977237056624032
"Tile_density",-0.000989495672980984
"PctMxFst2019Cat",-0.000993118616358563
"PctImp2004WsRp100",-0.000997163626261077
"Tmin8110Ws",-0.00100440487116123
"MAST_2008",-0.00105722810867678
"DamNIDStorWs",-0.00105829188256988
"Phos_FertWs",-0.00106533312303921
"PctConif2019WsRp100",-0.00109518864412304
"PctImp2001CatRp100",-0.00112114867260687
"RdDensWsRp100",-0.00112988246188999
"PctUrbOp2019Ws",-0.00114657455054432
"WtDepCat",-0.00115541935654258
"Tmin8110Cat",-0.00119008900563916
"RunoffWs",-0.00126394120529977
"PctDecid2019Ws",-0.00138386798387677
"PctWdWet2019Cat",-0.00139751653820766
"PctImp2016CatRp100",-0.00141607746837145
"SN_2008Ws",-0.0014434666031153
"RdCrsCat",-0.00146870231843364
"PctOw2019CatRp100",-0.00152051055947102
"Precip8110Cat",-0.00155617417253606
"PctImp2006Ws",-0.00158561287426267
"ManureCat",-0.00159443479640477
"PctUrbHi2019Cat",-0.0016518540908563
"NABD_DensWs",-0.00166111623890522
"PctImp2019Ws",-0.00169257451344149
"PctUrbLo2019Cat",-0.00173412294314078
"Precip_Minus_EVTCat",-0.0017987066044036
"OmWs",-0.00182027721353067
"PctAg2006Slp10Ws",-0.00183490981751568
"K2OWs",-0.00183551783982057
"PctUrbMd2019Cat",-0.00185247159724317
"PctImp2006Cat",-0.00186147656662911
"PctImp2016Cat",-0.00195603363826663
"CanalDensWs",-0.00197978844334639
"InorgNWetDep_2008Cat",-0.00208620979117392
"PctUrbMd2019WsRp100",-0.00228656435409497
"PctGrs2019CatRp100",-0.00231954562412255
"DamDensWs",-0.00232279350291849
"PctBl2019WsRp100",-0.00248321910566622
"CanalDensCat",-0.00281335799531448
"MSST_2008",-0.00300091160865064
"PctHay2019Ws",-0.00345358666202531
