"Station_name","Early Winter","Late Winter","Early Summer","Late Summer","Spring","Fall"
"Baptism River nr Beaver Bay, MN61",4,5,2,9,NA,NA
"Beaver Creek nr Beaver Falls, CSAH2",NA,1,1,6,1,5
"Beaver River nr Beaver Bay, 1.2mi us of MN61",NA,NA,2,4,NA,1
"Big Cobb River nr Beauford, CSAH16",NA,2,4,18,2,4
"Big Fork River at Big Falls, MN",6,10,4,14,1,3
"Big Fork River nr Bigfork, MN6",NA,NA,4,14,NA,NA
"Big Fork River nr Craigville, MN6",NA,NA,2,10,NA,1
"Big Sucker Creek nr Palmers, CR258",6,4,3,4,NA,NA
"Blue Earth River nr Rapidan, MN",11,7,2,19,2,3
"Blue Earth River nr Winnebago, CSAH12",NA,1,NA,8,NA,3
"Bois de Sioux River nr Doran, MN",10,5,6,12,2,2
"Boy River nr Boy River, CSAH53",NA,NA,2,5,1,2
"Brule River nr Hovland, MN61",NA,NA,NA,1,NA,2
"Buffalo Creek nr Glencoe, CSAH1",NA,1,1,3,2,1
"Buffalo River nr Georgetown, CR108",8,7,NA,11,NA,4
"Buffalo River nr Glyndon, CSAH19",NA,NA,NA,3,NA,2
"Buffalo River nr Hawley, MN",NA,2,NA,4,1,2
"Cannon River at Morristown, CSAH16",NA,1,NA,2,3,3
"Cannon River at Welch, MN",8,5,NA,6,1,1
"Cedar River nr Austin, MN",10,4,1,9,NA,4
"Chippewa River nr Clontarf, CSAH22",NA,2,2,5,1,4
"Chippewa River nr Milan, MN40",11,8,NA,9,NA,4
"Clearwater River at Plummer, MN",NA,NA,NA,5,2,6
"Clearwater River at Red Lake Falls, MN",14,9,1,16,2,9
"Clearwater River nr Clearwater, CR145",NA,2,1,3,3,1
"Cloquet River nr Brimson, CSAH44",NA,NA,1,7,1,NA
"Cloquet River nr Burnett, CR694",3,2,4,13,4,2
"Cottonwood River nr Leavenworth, CR8",NA,NA,1,6,2,2
"Cottonwood River nr New Ulm, MN68",14,8,3,14,3,6
"East Branch Blue Earth River at Blue Earth, CSAH16",NA,1,1,8,NA,3
"East Branch Chippewa River nr Benson, CR78",NA,NA,6,6,NA,3
"East Fork Rapid River nr Clementson, CSAH18",NA,NA,2,8,1,NA
"Elk River nr Big Lake, MN",NA,1,5,2,2,1
"Hawk Creek nr Granite Falls, CR52",13,7,3,12,1,5
"Hawk Creek nr Maynard, MN23",NA,1,3,5,2,4
"High Island Creek nr Arlington, CR9",NA,1,1,5,4,1
"High Island Creek nr Henderson, CSAH6",NA,1,1,8,2,1
"Kawishiwi River nr Winton, CSAH18",3,6,1,5,3,1
"Lac qui Parle River nr Lac qui Parle, CSAH31",9,4,3,5,2,2
"Lac qui Parle River nr Providence, CSAH23",NA,NA,NA,3,NA,2
"Le Sueur River at St. Clair, CSAH28",NA,1,4,14,3,2
"Le Sueur River nr Rapidan, CR8",NA,2,6,17,3,4
"Le Sueur River nr Rapidan, MN",16,7,3,19,1,4
"Leaf River nr Staples, CSAH29",7,9,1,7,NA,NA
"Leech Lake River nr Ball Club, CR139",1,2,5,8,3,1
"Little Beauford Ditch nr Beauford, MN22",NA,NA,3,14,8,2
"Little Fork River at Little Fork, MN",7,9,1,11,NA,4
"Little Fork River nr Linden Grove, TH73",NA,NA,NA,4,NA,3
"Little Fork River nr Littlefork, MN65",NA,NA,1,8,NA,6
"Long Prairie River at Long Prairie, MN",NA,3,1,1,4,2
"Long Prairie River at Philbrook, 313th Ave",14,11,3,5,1,2
"Lost River nr Brooks, CR119",NA,NA,NA,12,NA,3
"Maple River nr Rapidan, CR35",NA,NA,2,11,NA,3
"Maple River nr Sterling Center, CR18",NA,1,2,15,NA,2
"Middle Branch Root River nr Fillmore, CSAH5",NA,NA,NA,8,NA,5
"Middle Fork Crow River nr Manannah, CSAH30",NA,1,3,3,3,2
"Middle Fork Zumbro River nr Oronoco,5th St",NA,1,NA,8,NA,5
"Middle River at Argyle, MN",NA,NA,3,3,NA,4
"Minnesota River at Judson, CSAH42",12,6,4,14,NA,5
"Minnesota River at Morton, MN",12,5,1,7,NA,8
"Minnesota River nr Lac qui Parle, MN",5,5,2,3,NA,4
"Mississippi River at Grand Rapids, MN",2,5,8,13,8,4
"Mississippi River nr Bemidji, CSAH11",NA,NA,3,3,NA,1
"Mississippi River nr Bemidji, MN",NA,NA,3,4,1,1
"Mud River nr Grygla, MN89",NA,NA,8,15,NA,3
"Mustinka River nr Norcross, MN9",NA,NA,1,6,2,3
"Nemadji River nr Pleasant Valley, MN23",NA,NA,1,6,NA,1
"North Fork Crow River nr Cokato, CSAH4",NA,1,3,3,2,1
"North Fork Crow River nr Rockford, Farmington Ave",5,7,2,4,NA,3
"North Fork Whitewater River at Elba, Whitewater Dr",NA,3,1,2,2,3
"North Fork Zumbro River nr Mazeppa, CSAH7",NA,3,NA,4,2,4
"Otter Tail River at Breckenridge, CSAH16",10,7,1,11,NA,8
"Otter Tail River nr Elizabeth, MN",NA,7,1,7,1,3
"Pelican River nr Fergus Falls, MN210",NA,NA,4,5,2,3
"Pine River nr Jenkins, CSAH15",NA,NA,1,2,NA,NA
"Pipestone Creek nr Pipestone, CSAH13",NA,1,1,7,1,NA
"Pomme De Terre River at Appleton, MN",9,7,1,2,NA,2
"Pomme de Terre River nr Hoffman, CR76",NA,NA,2,7,NA,3
"Poplar River nr Lutsen, 0.2mi US of MN61",3,7,1,7,1,4
"Prairie River nr Taconite, MN",NA,3,NA,6,3,2
"Rapid River at Clementson, MN11",8,11,2,13,1,3
"Red Lake River at Fisher, MN",13,8,4,17,NA,2
"Red Lake River at High Landing nr Goodridge, MN",NA,NA,4,6,2,2
"Red Lake River at Red Lake Falls, CR13",NA,NA,4,8,3,5
"Red River of the North nr Kragnes, CSAH26",14,8,NA,7,NA,4
"Redwood River at Russell, CR15",NA,1,NA,7,2,4
"Redwood River nr Redwood Falls, MN",12,7,1,11,2,6
"Rock River at Luverne, CR4",7,6,1,4,1,2
"Rum River at Anoka,headwater side of dam",10,14,6,1,1,NA
"S Br. Wild Rice River at CR27 nr Felton, MN",NA,NA,NA,4,NA,1
"Sand Hill River at Climax, MN, US-75",10,11,1,9,2,3
"Sandhill River nr Fertile, 450th St SW",NA,NA,3,10,NA,4
"Sauk River nr St. Martin, CR12",NA,NA,2,4,3,1
"Second Creek nr Aurora, 0.6mi us of CSAH110",NA,3,1,9,2,4
"Seven Mile Creek nr St. Peter, 0.6mi us of US169",NA,3,8,22,9,5
"Shakopee Creek nr Benson, 20th Ave SW",NA,3,2,5,4,2
"Shell Rock River nr Gordonsville, CSAH1",9,6,NA,3,NA,5
"Sleepy Eye Creek nr Cobden, CR8",NA,NA,NA,8,1,3
"Snake River above Warren, MN",NA,NA,1,1,2,3
"Snake River nr Big Woods, MN220",13,3,1,2,NA,3
"Snake River nr Pine City, MN",4,8,5,7,NA,NA
"South Branch Buffalo River nr Glyndon, 28th Ave S",NA,NA,1,7,NA,2
"South Branch Middle Fork Zumbro River nr Oronoco,5th St",NA,1,NA,3,NA,5
"South Branch Root River at Lanesboro, Rochelle Ave N",NA,2,1,7,NA,4
"South Branch Two Rivers at Hallock, MN175",NA,1,1,4,NA,2
"South Branch Two Rivers at Lake Bronson, MN",NA,1,2,3,NA,4
"South Fork Crow River at Delano, Bridge Ave",5,7,NA,6,1,4
"South Fork Watonwan River nr Madelia, CSAH13",NA,1,NA,6,NA,1
"South Fork Zumbro River nr Oronoco, CR121",NA,1,NA,6,NA,5
"Split Rock Creek nr Jasper, 201st St",6,7,NA,6,NA,2
"Spring Creek nr Hanley Falls, 480th St",NA,1,1,7,2,2
"St. Francis River nr Big Lake, 164th St",NA,1,6,5,NA,1
"St. Louis River at Floodwood, CSAH8",NA,NA,2,5,3,1
"St. Louis River at Scanlon, MN",3,1,4,11,1,2
"St. Louis River nr Forbes, US53",NA,NA,1,9,3,5
"Stony River nr Babbitt, Tomahawk Rd",NA,1,1,6,2,1
"Straight River nr Faribault, MN",5,2,NA,2,NA,NA
"Sunrise River at Sunrise, CR88",2,2,NA,4,NA,NA
"Swan River nr Jacobson, CR438",NA,NA,2,4,2,1
"Swan River nr Sobieski, MN238",NA,NA,NA,3,NA,2
"Tamarac River nr Florian, CSAH1",NA,NA,4,10,1,2
"Tamarac River nr Stephen, CSAH22",11,6,3,2,NA,NA
"Thief River downstream of CSAH 7, 6 mi E of Holt",NA,3,5,6,4,1
"Thief River nr Thief River Falls, MN",12,12,3,11,1,3
"Turtle Creek at Austin, 43rd St",NA,NA,1,9,NA,4
"Twelvemile Creek nr Wheaton, CSAH14",NA,2,1,5,3,1
"Two Rivers nr Bowlus, 40th St",NA,NA,2,NA,NA,NA
"Two Rivers nr Hallock, CSAH16",11,9,2,9,NA,2
"Watonwan River nr Garden City, CSAH13",11,8,1,15,1,3
"Watonwan River nr La Salle, CSAH3",NA,1,NA,6,1,2
"Wells Creek nr Frontenac, US61",NA,NA,1,2,4,3
"West Branch Lac qui Parle River at Dawson, Diagonal St",NA,NA,NA,4,NA,2
"West Branch Rum River nr Princeton, CR102",NA,NA,NA,NA,NA,1
"West Fork Des Moines River at Jackson, River St",8,8,NA,5,1,2
"West Fork Des Moines River nr Avoca, CSAH6",NA,NA,1,5,1,1
"Whitewater River nr Beaver, CSAH30",7,5,1,5,2,3
"Wild Rice River at Hendrum, MN",8,11,1,14,2,5
"Wild Rice River at Twin Valley, MN",NA,1,NA,4,NA,1
"Wild Rice River nr Mahnomen, CSAH25",NA,NA,NA,5,NA,NA
"Yellow Bank River nr Odessa, CSAH40",6,5,NA,4,NA,2
"Yellow Medicine River nr Granite Falls, MN",7,5,NA,8,2,7
"Yellow Medicine River nr Hanley Falls, CR18",NA,1,NA,7,2,5
"Zumbro River at Kellogg, US61",7,6,NA,9,NA,2
"Total number of sites with >3 samples",50,57,40,128,23,68
