"Predictor","Importance","Description"
"PctImp2001Ws",5.8050957675026e-05,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"PctWdWet2019CatRp100",4.86747225085061e-05,"% of AOI area classified as woody wetland land cover (NLCD class 90)"
"PctColluvSedCat",4.60957024759279e-05,"% of AOI area classified as lithology type: colluvial sediment"
"PctHydricWs",4.166387076152e-05,"% of AOI area classified as lithology type: hydric, peat and muck"
"PctConif2019CatRp100",3.80269900161946e-05,"% of AOI area classified as evergreen forest land cover (NLCD class 42)"
"PctGlacLakeCrsWs",1.3736491601352e-05,"% of AOI area classified as lithology type: glacial outwash and glacial lake sediment, coarse-textured"
"PctGlacTilClayCat",2.24589569839395e-07,"% of AOI area classified as lithology type: glacial till, clayey"
"DamNIDStorCat",0,"Volume all reservoirs (NID_STORA in NID) per unit area of AOI (cubic meters/square km)"
"MineDensCat",0,"Density of mines sites within AOI (mines/square km)"
"NABD_NrmStorCat",0,"Volume all reservoirs (NORM_STORA in NID) per unit area of AOI (cubic meters/square km)"
"PctGlacTilCrsCat",0,"% of AOI area classified as lithology type: glacial till, coarse-textured"
"PctGlacTilCrsWs",0,"% of AOI area classified as lithology type: glacial till, coarse-textured"
"PctHydricCat",0,"% of AOI area classified as lithology type: hydric, peat and muck"
"SuperfundDensCat",0,"Density of Superfund sites within AOI (sites/square km)"
"TRIDensCat",0,"Density of TRI (Toxic Release Inventory) sites within AOI (sites/square km)"
"WWTPMajorDensCat",0,"Density (number/ km2) of major wastewater treatment plants per AOI"
"DamDensCat",-9.36295706695178e-07,"Density of georeferenced dams within AOI (dams/ square km)"
"ElevCat",-2.84897264886591e-06,"Mean AOI elevation (m)"
"RckDepCat",-9.76318006428684e-06,"Mean depth (cm) to bedrock of soils (STATSGO) within AOI."
"NABD_DensCat",-1.12719414328613e-05,"Density of georeferenced dams within AOI (dams/ square km)"
"DamNrmStorCat",-4.33857477357992e-05,"Volume all reservoirs (NORM_STORA in NID) per unit area of AOI (cubic meters/square km)"
"PctWaterWs",-5.10816499401376e-05,"% of AOI area classified as lithology type: water"
"NPDESDensCat",-6.42872468694335e-05,"Density of permitted NPDES (National Pollutant Discharge Elimination System) sites within AOI (sites/square km)"
"PctImp2011WsRp100",-7.85996235594488e-05,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"PctUrbLo2019Ws",-8.75260540402676e-05,"% of AOI area classified as developed, low-intensity land use (NLCD class 22)"
"ClayCat",-8.98418456547876e-05,"Mean % clay content of soils (STATSGO) within AOI "
"PctHay2019WsRp100",-9.77780974793344e-05,"% of AOI area classified as hay land use (NLCD class 81)"
"CatAreaSqKm",-0.000112880478097908,"Mean % of lithological sulfur (S) content in surface or near surface geology within AOI"
"NABD_NIDStorCat",-0.00011313439751435,"Volume all reservoirs (NID_STORA in NID) per unit area of AOI (cubic meters/square km)"
"PctUrbLo2019CatRp100",-0.000115491225622494,"% of AOI area classified as developed, low-intensity land use (NLCD class 22)"
"PctAg2006Slp20Ws",-0.00011975882031258,"Mean % of lithological sulfur (S) content in surface or near surface geology within AOI"
"WWTPMajorDensWs",-0.00013017612930178,"Density (number/ km2) of major wastewater treatment plants per AOI"
"P2O5Cat",-0.000133703674381517,"Mean % of lithological phosphorous oxide (P2O5) content in surface or near surface geology within AOI"
"PctShrb2019WsRp100",-0.000135708803991057,"% of AOI area classified as shrub/scrub land cover (NLCD class 52)"
"PctOw2019WsRp100",-0.000157583976470906,"% of AOI area classified as open water land cover (NLCD class 11)"
"RdCrsSlpWtdWs",-0.00016365930980693,"Density of roads-stream intersections (2010 Census Tiger Lines-NHD stream lines) multiplied by NHDPlusV21 slope within AOI (crossings*slope/square km)"
"SepticCat",-0.000164466719427149,"Density of septic systems per AOI - based on 1990 Census"
"PctBl2019CatRp100",-0.000188903651253193,"% of AOI area classified as barren land cover (NLCD class 31)"
"PctHay2019CatRp100",-0.000194595594006863,"% of AOI area classified as hay land use (NLCD class 81)"
"PctImp2006CatRp100",-0.000210118289284288,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"CompStrgthWs",-0.000219314896633742,"Mean lithological uniaxial compressive strength (megaPascals) content in surface or near surface geology within AOI"
"PctUrbMd2019Ws",-0.000224192177817195,"% of AOI area classified as developed, medium-intensity land use (NLCD class 23)"
"MgOWs",-0.000234707105708312,"Mean % of lithological magnesium oxide (MgO) content in surface or near surface geology within AOI"
"PctConif2019Ws",-0.000235777856715816,"% of AOI area classified as evergreen forest land cover (NLCD class 42)"
"SN_2008Cat",-0.000237199842542259,"Annual gradient map of precipitation-weighted mean deposition for average sulfur & nitrogen wet deposition for 2008 in kg of S+N/ha/yr, within AOI"
"PctAg2006Slp20Cat",-0.000257007991764452,"Mean % of lithological sulfur (S) content in surface or near surface geology within AOI"
"PctUrbLo2019WsRp100",-0.00028110176522831,"% of AOI area classified as developed, low-intensity land use (NLCD class 22)"
"PctGlacLakeFineCat",-0.000283829837197626,"% of AOI area classified as lithology type: glacial lake sediment, fine-textured"
"RdDensCatRp100",-0.000292723032805988,"Density of roads (2010 Census Tiger Lines) within AOI (km/square km)"
"PctImp2013WsRp100",-0.000296614541133066,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"TRIDensWsRp100",-0.000310838695600388,"Density of TRI (Toxic Release Inventory) sites within AOI (sites/square km)"
"MineDensWs",-0.000322694799225503,"Density of mines sites within AOI (mines/square km)"
"PctImp2019CatRp100",-0.000368970857917104,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"CaOWs",-0.000369888243923906,"Mean % of lithological calcium oxide (CaO) content in surface or near surface geology within AOI"
"WWTPMinorDensCat",-0.000370765316777365,"Density (number/ km2) of minor wastewater treatment plants per AOI"
"Al2O3Ws",-0.000384226176951084,"Mean % of lithological aluminum oxide (Al2O3) content in surface or near surface geology within AOI"
"NANICat",-0.000387118120059313,"Net Anthropogenic Nitrogen within AOI: farm fertilizer + urban fertilizer + NOx deposition + CBNF + Human and Livestock food - crop N content - livestock N content"
"PctImp2011Cat",-0.000388141762898709,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"PctUrbHi2019Ws",-0.000391489949938644,"% of AOI area classified as developed, high-intensity land use (NLCD class 24)"
"PctGrs2019WsRp100",-0.000394819835963627,"% of AOI area classified as grassland/herbaceous land cover (NLCD class 71)"
"PctShrb2019Cat",-0.000403424096753171,"% of AOI area classified as shrub/scrub land cover (NLCD class 52)"
"NH4_2008Cat",-0.000420126642648583,"Annual gradient map of precipitation-weighted mean deposition for ammonium ion concentration wet deposition for 2008 in kg of NH4/ha/yr, within AOI"
"PctGlacTilClayWs",-0.000428739686374082,"% of AOI area classified as lithology type: glacial till, clayey"
"PctImp2001Cat",-0.00044834456517449,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"RckDepWs",-0.000460658462264453,"Mean depth (cm) to bedrock of soils (STATSGO) within AOI."
"HydrlCondWs",-0.000479291886636618,"Mean lithological hydraulic conductivity (micrometers per second) content in surface or near surface geology within AOI"
"Na2OWs",-0.000487034062385662,"Mean % of lithological sodium oxide (Na2O) content in surface or near surface geology within AOI"
"NABD_NrmStorWs",-0.00048817077899182,"Volume all reservoirs (NORM_STORA in NID) per unit area of AOI (cubic meters/square km)"
"PctImp2004Ws",-0.000492099617747396,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"WWTPAllDensCat",-0.000541700261340802,"Density (number/ km2) of all wastewater treatment plants per AOI"
"PermWs",-0.000550181672310085,"Mean permeability (cm/hour) of soils (STATSGO) within AOI "
"PctMxFst2019CatRp100",-0.000556438368468184,"% of AOI area classified as mixed deciduous/evergreen forest land cover (NLCD class 43)"
"BFICat",-0.000560395670410914,"Base flow is the component of streamflow that can be attributed to ground-water discharge into streams. The BFI is the ratio of base flow to total flow, expressed as a percentage, within AOI"
"PctImp2019WsRp100",-0.00057581508652226,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"NsurpWs",-0.000592472040060552,"Nitrogen Surplus (kg N / yr) per AOI - excluding biological N Fixation"
"MineDensWsRp100",-0.000632036686276091,"Density of mines sites within AOI (mines/square km)"
"P2O5Ws",-0.0006467289329552,"Mean % of lithological phosphorous oxide (P2O5) content in surface or near surface geology within AOI"
"PctDecid2019WsRp100",-0.000674521131788171,"% of AOI area classified as deciduous forest land cover (NLCD class 41)"
"PctImp2004Cat",-0.000691180547043971,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"PctImp2011Ws",-0.000768318126225922,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"PctConif2019Cat",-0.000773616652799777,"% of AOI area classified as evergreen forest land cover (NLCD class 42)"
"PctImp2011CatRp100",-0.000784150611790556,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"NWs",-0.000811781869940112,"Mean % of lithological nitrogen (N) content in surface or near surface geology within AOI"
"PctGlacTilLoamWs",-0.000859203112871651,"% of AOI area classified as lithology type: glacial till, loamy"
"PctImp2008CatRp100",-0.000862658696553109,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"PctBl2019Ws",-0.000940004813557865,"% of AOI area classified as barren land cover (NLCD class 31)"
"InorgNWetDep_2008Ws",-0.000977237056624032,"Annual gradient map of precipitation-weighted mean deposition for inorganic nitrogen wet deposition from nitrate and ammonium for 2008 in kg of N/ha/yr, within AOI"
"Tile_density",-0.0009894957,"Tile density in the watershed in m2/km2"
"PctMxFst2019Cat",-0.000993118616358563,"% of AOI area classified as mixed deciduous/evergreen forest land cover (NLCD class 43)"
"PctImp2004WsRp100",-0.000997163626261077,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"Tmin8110Ws",-0.00100440487116123,"PRISM climate data - 30-year normal minimum temperature (C°): Annual period: 1981-2010 within the AOI"
"MAST_2008",-0.00105722810867678,"Predicted mean annual stream temperature (Jan-Dec) for year 2008, 2009, 2013, 2014"
"DamNIDStorWs",-0.00105829188256988,"Volume all reservoirs (NID_STORA in NID) per unit area of AOI (cubic meters/square km)"
"Phos_FertWs",-0.00106533312303921,"Mean rate of synthetic nitrogen fertilizer application to agricultural land in kg N/ha/yr, within the AOI"
"PctConif2019WsRp100",-0.00109518864412304,"% of AOI area classified as evergreen forest land cover (NLCD class 42)"
"PctImp2001CatRp100",-0.00112114867260687,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"RdDensWsRp100",-0.00112988246188999,"Density of roads (2010 Census Tiger Lines) within AOI (km/square km)"
"PctUrbOp2019Ws",-0.00114657455054432,"% of AOI area classified as developed, open space land use (NLCD class 21)"
"WtDepCat",-0.00115541935654258,"Mean seasonal water table depth (cm) of soils (STATSGO) within AOI "
"Tmin8110Cat",-0.00119008900563916,"PRISM climate data - 30-year normal minimum temperature (C°): Annual period: 1981-2010 within the AOI"
"RunoffWs",-0.00126394120529977,"Mean runoff (mm) within AOI"
"PctDecid2019Ws",-0.00138386798387677,"% of AOI area classified as deciduous forest land cover (NLCD class 41)"
"PctWdWet2019Cat",-0.00139751653820766,"% of AOI area classified as woody wetland land cover (NLCD class 90)"
"PctImp2016CatRp100",-0.00141607746837145,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"SN_2008Ws",-0.0014434666031153,"Annual gradient map of precipitation-weighted mean deposition for average sulfur & nitrogen wet deposition for 2008 in kg of S+N/ha/yr, within AOI"
"RdCrsCat",-0.00146870231843364,"Density of roads-stream intersections (2010 Census Tiger Lines-NHD stream lines) within AOI (crossings/square km)"
"PctOw2019CatRp100",-0.00152051055947102,"% of AOI area classified as open water land cover (NLCD class 11)"
"Precip8110Cat",-0.00155617417253606,"PRISM climate data - 30-year normal mean precipitation (mm): Annual period: 1981-2010 within AOI"
"PctImp2006Ws",-0.00158561287426267,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"ManureCat",-0.00159443479640477,"Mean rate of manure application to agricultural land from confined animal feeding operations in kg N/ha/yr, within AOI"
"PctUrbHi2019Cat",-0.0016518540908563,"% of AOI area classified as developed, high-intensity land use (NLCD class 24)"
"NABD_DensWs",-0.00166111623890522,"Density of georeferenced dams within AOI (dams/ square km)"
"PctImp2019Ws",-0.00169257451344149,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"PctUrbLo2019Cat",-0.00173412294314078,"% of AOI area classified as developed, low-intensity land use (NLCD class 22)"
"Precip_Minus_EVTCat",-0.0017987066044036,"This dataset represents surplus precipitation (mm): precipitation minus potential evaporation described in DOI: 10.1016/j.scitotenv.2020.137661 within individual,  local NHDPlusV2 catchments and upstream, contributing watersheds."
"OmWs",-0.00182027721353067,"Mean organic matter content (% by weight) of soils (STATSGO) within AOI "
"PctAg2006Slp10Ws",-0.00183490981751568,"Mean % of lithological sulfur (S) content in surface or near surface geology within AOI"
"K2OWs",-0.00183551783982057,"Mean % of lithological potassium oxide (K2O) content in surface or near surface geology within AOI"
"PctUrbMd2019Cat",-0.00185247159724317,"% of AOI area classified as developed, medium-intensity land use (NLCD class 23)"
"PctImp2006Cat",-0.00186147656662911,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"PctImp2016Cat",-0.00195603363826663,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"CanalDensWs",-0.00197978844334639,"Density of NHDPlus line features classified as canal, ditch, or pipeline within the AOI (km/ square km)"
"InorgNWetDep_2008Cat",-0.00208620979117392,"Annual gradient map of precipitation-weighted mean deposition for inorganic nitrogen wet deposition from nitrate and ammonium for 2008 in kg of N/ha/yr, within AOI"
"PctUrbMd2019WsRp100",-0.00228656435409497,"% of AOI area classified as developed, medium-intensity land use (NLCD class 23)"
"PctGrs2019CatRp100",-0.00231954562412255,"% of AOI area classified as grassland/herbaceous land cover (NLCD class 71)"
"DamDensWs",-0.00232279350291849,"Density of georeferenced dams within AOI (dams/ square km)"
"PctBl2019WsRp100",-0.00248321910566622,"% of AOI area classified as barren land cover (NLCD class 31)"
"CanalDensCat",-0.00281335799531448,"Density of NHDPlus line features classified as canal, ditch, or pipeline within the AOI (km/ square km)"
"MSST_2008",-0.00300091160865064,"Predicted mean summer stream temperature (July-Aug) for years 2008, 2009, 2013, 2014"
"PctHay2019Ws",-0.00345358666202531,"% of AOI area classified as hay land use (NLCD class 81)"
